2018-07-07 00:49:48,253 [e-1024-b02]   INFO -        #com.intellij.idea.Main - ------------------------------------------------------ IDE STARTED ------------------------------------------------------ 
2018-07-07 00:49:48,269 [e-1024-b02]   INFO -        #com.intellij.idea.Main - IDE: Android Studio (build #AI-173.4819257, 04 Jun 2018 23:40) 
2018-07-07 00:49:48,269 [e-1024-b02]   INFO -        #com.intellij.idea.Main - OS: Windows 10 (10.0, amd64) 
2018-07-07 00:49:48,269 [e-1024-b02]   INFO -        #com.intellij.idea.Main - JRE: 1.8.0_152-release-1024-b02 (JetBrains s.r.o) 
2018-07-07 00:49:48,269 [e-1024-b02]   INFO -        #com.intellij.idea.Main - JVM: 25.152-b02 (OpenJDK 64-Bit Server VM) 
2018-07-07 00:49:48,269 [e-1024-b02]   INFO -        #com.intellij.idea.Main - JVM Args: -Xms256m -Xmx1280m -XX:ReservedCodeCacheSize=240m -XX:+UseConcMarkSweepGC -XX:SoftRefLRUPolicyMSPerMB=50 -Dsun.io.useCanonCaches=false -Djava.net.preferIPv4Stack=true -Djna.nosys=true -Djna.boot.library.path= -da -Djb.vmOptionsFile=C:\Program Files\Android\Android Studio\bin\studio64.exe.vmoptions -Xbootclasspath/a:C:\Program Files\Android\Android Studio\lib\boot.jar -Didea.platform.prefix=AndroidStudio -Didea.jre.check=true -Dide.native.launcher=true -Didea.paths.selector=AndroidStudio3.1 -XX:ErrorFile=C:\Users\ CA;0=\java_error_in_studio_%p.log -XX:HeapDumpPath=C:\Users\ CA;0=\java_error_in_studio.hprof 
2018-07-07 00:49:48,269 [e-1024-b02]   INFO -        #com.intellij.idea.Main - ForkJoinPool.commonPool: java.util.concurrent.ForkJoinPool@511767b4[Running, parallelism = 7, size = 0, active = 0, running = 0, steals = 0, tasks = 0, submissions = 0] 
2018-07-07 00:49:48,269 [e-1024-b02]   INFO -        #com.intellij.idea.Main - ext: C:\Program Files\Android\Android Studio\jre\jre\lib\ext: [access-bridge-64.jar, cldrdata.jar, dnsns.jar, jaccess.jar, localedata.jar, meta-index, nashorn.jar, sunec.jar, sunjce_provider.jar, sunmscapi.jar, sunpkcs11.jar, zipfs.jar] 
2018-07-07 00:49:48,269 [e-1024-b02]   INFO -        #com.intellij.idea.Main - JNU charset: Cp1251 
2018-07-07 00:49:48,456 [e-1024-b02]   INFO -        #com.intellij.idea.Main - JNA library (64-bit) loaded in 187 ms 
2018-07-07 00:49:48,456 [e-1024-b02]   INFO - penapi.util.io.win32.IdeaWin32 - Native filesystem for Windows is operational 
2018-07-07 00:49:49,702 [entQueue-0]   INFO - llij.ide.plugins.PluginManager - Cannot find optional descriptor duplicates-groovy.xml 
2018-07-07 00:49:50,139 [entQueue-0]   INFO - llij.ide.plugins.PluginManager - 38 plugins initialized in 703 ms 
2018-07-07 00:49:50,147 [entQueue-0]   INFO - llij.ide.plugins.PluginManager - Loaded bundled plugins: Android APK Support (1.0), Android Games (1.0), Android NDK Support (1.0), Android Support (10.3.1.3), App Links Assistant (0.1), CVS Integration (11), Copyright (8.1), Coverage (173.4301.25), EditorConfig (173.4301.25), Firebase App Indexing (0.1), Firebase Services (0.1), Firebase Testing (1.0), Git Integration (8.1), GitHub (173.4301.25), Google Cloud Tools Core (0.2.8), Google Cloud Tools For Android Studio (0.2.8), Google Developers Samples (0.3.1), Google Login (1.0), Google Services (0.1), Gradle (173.4301.25), Groovy (9.0), I18n for Java (173.4301.25), IDEA CORE (173.4301.25), IntelliLang (8.0), JUnit (1.0), Java Bytecode Decompiler (173.4301.25), Java Stream Debugger (173.4301.25), Kotlin (1.2.30-release-Studio3.1-1), Mercurial Integration (10.0), Properties Support (173.4301.25), Settings Repository (173.4301.25), Smali Support (1.0), Subversion Integration (1.1), Task Management (1.0), Terminal (0.1), Test Recorder (1.0), TestNG-J (8.0), YAML (173.4301.25) 
2018-07-07 00:49:51,861 [entQueue-0]   INFO - ellij.vfs.persistent.FSRecords - Marking VFS as corrupted: 'C:\Users\Руслан\.AndroidStudio3.1\system\caches\names.dat' does not exist 
2018-07-07 00:49:51,861 [entQueue-0]   INFO - ellij.util.io.PagedFileStorage - lower=100; upper=500; buffer=10; max=1217 
2018-07-07 00:49:51,892 [entQueue-0]   INFO - pl.local.NativeFileWatcherImpl - Starting file watcher: C:\Program Files\Android\Android Studio\bin\fsnotifier64.exe 
2018-07-07 00:49:51,923 [entQueue-0]   INFO - pl.local.NativeFileWatcherImpl - Native file watcher is operational. 
2018-07-07 00:49:52,423 [entQueue-0]   INFO - .history.utils.LocalHistoryLog - local history version mismatch (was: 0, expected: 6), rebuilding... 
2018-07-07 00:49:52,423 [entQueue-0]   INFO - .history.utils.LocalHistoryLog - FS has been rebuild, rebuilding local history... 
